ID	Name	Type
T1666	Modify Cloud Resource Hierarchy	Adversaries may attempt to modify hierarchical structures in infrastructure-as-a-service (IaaS) envi
T1564.008	Email Hiding Rules	Adversaries may use email rules to hide inbound emails in a compromised user's mailbox. Many email c
T1491.002	External Defacement	An adversary may deface systems external to an organization in an attempt to deliver messaging, inti
T1027.013	Encrypted/Encoded File	Adversaries may encrypt or encode files to obfuscate strings, bytes, and other specific patterns to 
T1171	LLMNR/NBT-NS Poisoning and Relay	Link-Local Multicast Name Resolution (LLMNR) and NetBIOS Name Service (NBT-NS) are Microsoft Windows
T1590.005	IP Addresses	Adversaries may gather the victim's IP addresses that can be used during targeting. Public IP addres
T1499.001	OS Exhaustion Flood	Adversaries may launch a denial of service (DoS) attack targeting an endpoint's operating system (OS
T1014	Rootkit	Adversaries may use rootkits to hide the presence of programs, files, network connections, services,
T1546.013	PowerShell Profile	Adversaries may gain persistence and elevate privileges by executing malicious content triggered by 
T1059.007	JavaScript	Adversaries may abuse various implementations of JavaScript for execution. JavaScript (JS) is a plat
T1590.002	DNS	Adversaries may gather information about the victim's DNS that can be used during targeting. DNS inf
T1501	Systemd Service	Systemd services can be used to establish persistence on a Linux system. The systemd service manager
T1485.001	Lifecycle-Triggered Deletion	Adversaries may modify the lifecycle policies of a cloud storage bucket to destroy all objects store
T1514	Elevated Execution with Prompt	Adversaries may leverage the AuthorizationExecuteWithPrivileges API to escalate privileges by prompt
T1123	Audio Capture	An adversary can leverage a computer's peripheral devices (e.g., microphones and webcams) or applica
T1543	Create or Modify System Process	Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as 
T1133	External Remote Services	Adversaries may leverage external-facing remote services to initially access and/or persist within a
T1109	Component Firmware	Some adversaries may employ sophisticated means to compromise computer components and install malici
T1546.006	LC_LOAD_DYLIB Addition	Adversaries may establish persistence by executing malicious content triggered by the execution of t
T1539	Steal Web Session Cookie	An adversary may steal web application or service session cookies and use them to gain access to web
T1053.007	Container Orchestration Job	Adversaries may abuse task scheduling functionality provided by container orchestration tools such a
T1568.002	Domain Generation Algorithms	Adversaries may make use of Domain Generation Algorithms (DGAs) to dynamically identify a destinatio
T1036.007	Double File Extension	Adversaries may abuse a double extension in the filename as a means of masquerading the true file ty
T1548.002	Bypass User Account Control	Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account 
T1099	Timestomp	Adversaries may take actions to hide the deployment of new, or modification of existing files to obf
T1496.003	SMS Pumping	Adversaries may leverage messaging services for SMS pumping, which may impact system and/or hosted s
T1016.001	Internet Connection Discovery	Adversaries may check for Internet connectivity on compromised systems. This may be performed during
T1548.003	Sudo and Sudo Caching	Adversaries may perform sudo caching and/or use the sudoers file to elevate privileges. Adversaries 
T1560.003	Archive via Custom Method	An adversary may compress or encrypt data that is collected prior to exfiltration using a custom met
T1578	Modify Cloud Compute Infrastructure	An adversary may attempt to modify a cloud account's compute service infrastructure to evade defense
T1584.008	Network Devices	Adversaries may compromise third-party network devices that can be used during targeting. Network de
T1583.008	Malvertising	Adversaries may purchase online advertisements that can be abused to distribute malware to victims. 
T1069	Permission Groups Discovery	Adversaries may attempt to discover group and permission settings. This information can help adversa
T1114	Email Collection	Adversaries may target user email to collect sensitive information. Emails may contain sensitive dat
T1003.002	Security Account Manager	Adversaries may attempt to extract credential material from the Security Account Manager (SAM) datab
T1596.002	WHOIS	Adversaries may search public WHOIS data for information about victims that can be used during targe
T1542.001	System Firmware	Adversaries may modify system firmware to persist on systems.The BIOS (Basic Input/Output System) an
T1594	Search Victim-Owned Websites	Adversaries may search websites owned by the victim for information that can be used during targetin
T1069.003	Cloud Groups	Adversaries may attempt to find cloud groups and permission settings. The knowledge of cloud permiss
T1574.011	Services Registry Permissions Weakness	Adversaries may execute their own malicious payloads by hijacking the Registry entries used by servi
T1596.001	DNS/Passive DNS	Adversaries may search DNS data for information about victims that can be used during targeting. DNS
T1499.003	Application Exhaustion Flood	Adversaries may target resource intensive features of applications to cause a denial of service (DoS
T1163	Rc.common	During the boot process, macOS executes <code>source /etc/rc.common</code>, which is a shell script 
T1195.001	Compromise Software Dependencies and Development Tools	Adversaries may manipulate software dependencies and development tools prior to receipt by a final c
T1588.004	Digital Certificates	Adversaries may buy and/or steal SSL/TLS certificates that can be used during targeting. SSL/TLS cer
T1583.002	DNS Server	Adversaries may set up their own Domain Name System (DNS) servers that can be used during targeting.
T1561	Disk Wipe	Adversaries may wipe or corrupt raw disk data on specific systems or in large numbers in a network t
T1071.004	DNS	Adversaries may communicate using the Domain Name System (DNS) application layer protocol to avoid d
T1552.005	Cloud Instance Metadata API	Adversaries may attempt to access the Cloud Instance Metadata API to collect credentials and other s
T1555.002	Securityd Memory	An adversary with root access may gather credentials by reading `securityd`’s memory. `securityd` is
T1615	Group Policy Discovery	Adversaries may gather information on Group Policy settings to identify paths for privilege escalati
T1542.003	Bootkit	Adversaries may use bootkits to persist on systems. A bootkit is a malware variant that modifies the
T1025	Data from Removable Media	Adversaries may search connected removable media on computers they have compromised to find files of
T1116	Code Signing	Code signing provides a level of authenticity on a binary from the developer and a guarantee that th
T1218.013	Mavinject	Adversaries may abuse mavinject.exe to proxy execution of malicious code. Mavinject.exe is the Micro
T1522	Cloud Instance Metadata API	Adversaries may attempt to access the Cloud Instance Metadata API to collect credentials and other s
T1093	Process Hollowing	Process hollowing occurs when a process is created in a suspended state then its memory is unmapped 
T1074.001	Local Data Staging	Adversaries may stage collected data in a central location or directory on the local system prior to
T1036.005	Match Legitimate Resource Name or Location	Adversaries may match or approximate the name or location of legitimate files, Registry keys, or oth
T1172	Domain Fronting	Domain fronting takes advantage of routing schemes in Content Delivery Networks (CDNs) and other ser
T1587.003	Digital Certificates	Adversaries may create self-signed SSL/TLS certificates that can be used during targeting. SSL/TLS c
T1565.001	Stored Data Manipulation	Adversaries may insert, delete, or manipulate data at rest in order to influence external outcomes o
T1110.002	Password Cracking	Adversaries may use password cracking to attempt to recover usable credentials, such as plaintext pa
T1178	SID-History Injection	The Windows security identifier (SID) is a unique value that identifies a user or group account. SID
T1114.001	Local Email Collection	Adversaries may target user email on local systems to collect sensitive information. Files containin
T1555.001	Keychain	Adversaries may acquire credentials from Keychain. Keychain (or Keychain Services) is the macOS cred
T1547	Boot or Logon Autostart Execution	Adversaries may configure system settings to automatically execute a program during system boot or l
T1003.004	LSA Secrets	Adversaries with SYSTEM access to a host may attempt to access Local Security Authority (LSA) secret
T1013	Port Monitors	A port monitor can be set through the (Citation: AddMonitor) API call to set a DLL to be loaded at s
T1600	Weaken Encryption	Adversaries may compromise a network device’s encryption capability in order to bypass encryption th
T1606.002	SAML Tokens	An adversary may forge SAML tokens with any permissions claims and lifetimes if they possess a valid
T1192	Spearphishing Link	Spearphishing with a link is a specific variant of spearphishing. It is different from other forms o
T1036.008	Masquerade File Type	Adversaries may masquerade malicious payloads as legitimate files through changes to the payload's f
T1489	Service Stop	Adversaries may stop or disable services on a system to render those services unavailable to legitim
T1587.001	Malware	Adversaries may develop malware and malware components that can be used during targeting. Building m
T1121	Regsvcs/Regasm	Regsvcs and Regasm are Windows command-line utilities that are used to register .NET Component Objec
T1652	Device Driver Discovery	Adversaries may attempt to enumerate local device drivers on a victim host. Information about device
T1206	Sudo Caching	The <code>sudo</code> command "allows a system administrator to delegate authority to give certain u
T1087.002	Domain Account	Adversaries may attempt to get a listing of domain accounts. This information can help adversaries d
T1547.014	Active Setup	Adversaries may achieve persistence by adding a Registry key to the Active Setup of the local machin
T1564	Hide Artifacts	Adversaries may attempt to hide artifacts associated with their behaviors to evade detection. Operat
T1559.002	Dynamic Data Exchange	Adversaries may use Windows Dynamic Data Exchange (DDE) to execute arbitrary commands. DDE is a clie
T1204.002	Malicious File	An adversary may rely upon a user opening a malicious file in order to gain execution. Users may be 
T1591.003	Identify Business Tempo	Adversaries may gather information about the victim's business tempo that can be used during targeti
T1063	Security Software Discovery	Adversaries may attempt to get a listing of security software, configurations, defensive tools, and 
T1071.005	Publish/Subscribe Protocols	Adversaries may communicate using publish/subscribe (pub/sub) application layer protocols to avoid d
T1592.001	Hardware	Adversaries may gather information about the victim's host hardware that can be used during targetin
T1080	Taint Shared Content	Adversaries may deliver payloads to remote systems by adding content to shared storage locations, su
T1484.002	Trust Modification	Adversaries may add new domain trusts, modify the properties of existing domain trusts, or otherwise
T1213.006	Databases	Adversaries may leverage databases to mine valuable information. These databases may be hosted on-pr
T1573.001	Symmetric Cryptography	Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic
T1087.001	Local Account	Adversaries may attempt to get a listing of local system accounts. This information can help adversa
T1167	Securityd Memory	In OS X prior to El Capitan, users with root access can read plaintext keychain passwords of logged-
T1586.001	Social Media Accounts	Adversaries may compromise social media accounts that can be used during targeting. For operations i
T1176.001	Browser Extensions	Adversaries may abuse internet browser extensions to establish persistent access to victim systems. 
T1527	Application Access Token	Adversaries may use application access tokens to bypass the typical authentication process and acces
T1562.009	Safe Mode Boot	Adversaries may abuse Windows safe mode to disable endpoint defenses. Safe mode starts up the Window
T1180	Screensaver	Screensavers are programs that execute after a configurable time of user inactivity and consist of P
T1542.005	TFTP Boot	Adversaries may abuse netbooting to load an unauthorized network device operating system from a Triv
T1543.003	Windows Service	Adversaries may create or modify Windows services to repeatedly execute malicious payloads as part o
T1568.001	Fast Flux DNS	Adversaries may use Fast Flux DNS to hide a command and control channel behind an array of rapidly c
T1497.001	System Checks	Adversaries may employ various system checks to detect and avoid virtualization and analysis environ
T1053.003	Cron	Adversaries may abuse the <code>cron</code> utility to perform task scheduling for initial or recurr
T1069.002	Domain Groups	Adversaries may attempt to find domain-level groups and permission settings. The knowledge of domain
T1588.006	Vulnerabilities	Adversaries may acquire information about vulnerabilities that can be used during targeting. A vulne
T1566.002	Spearphishing Link	Adversaries may send spearphishing emails with a malicious link in an attempt to gain access to vict
T1165	Startup Items	Per Apple’s documentation, startup items execute during the final phase of the boot process and cont
T1070.002	Clear Linux or Mac System Logs	Adversaries may clear system logs to hide evidence of an intrusion. macOS and Linux both keep track 
T1499.004	Application or System Exploitation	Adversaries may exploit software vulnerabilities that can cause an application or system to crash an
T1137	Office Application Startup	Adversaries may leverage Microsoft Office-based applications for persistence between startups. Micro
T1218.004	InstallUtil	Adversaries may use InstallUtil to proxy execution of code through a trusted Windows utility. Instal
T1598.003	Spearphishing Link	Adversaries may send spearphishing messages with a malicious link to elicit sensitive information th
T1021.004	SSH	Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into remote m
T1098.003	Additional Cloud Roles	An adversary may add additional roles or permissions to an adversary-controlled cloud account to mai
T1547.012	Print Processors	Adversaries may abuse print processors to run malicious DLLs during system boot for persistence and/
T1089	Disabling Security Tools	Adversaries may disable security tools to avoid possible detection of their tools and activities. Th
T1487	Disk Structure Wipe	Adversaries may corrupt or wipe the disk data structures on hard drive necessary to boot systems; ta
T1566.001	Spearphishing Attachment	Adversaries may send spearphishing emails with a malicious attachment in an attempt to gain access t
T1214	Credentials in Registry	The Windows Registry stores configuration information that can be used by the system or other progra
T1027.008	Stripped Payloads	Adversaries may attempt to make a payload difficult to analyze by removing symbols, strings, and oth
T1559.001	Component Object Model	Adversaries may use the Windows Component Object Model (COM) for local code execution. COM is an int
T1574.001	DLL	Adversaries may abuse dynamic-link library files (DLLs) in order to achieve persistence, escalate pr
T1119	Automated Collection	Once established within a system or network, an adversary may use automated techniques for collectin
T1115	Clipboard Data	Adversaries may collect data stored in the clipboard from users copying information within or betwee
T1003.007	Proc Filesystem	Adversaries may gather credentials from the proc filesystem or `/proc`. The proc filesystem is a pse
T1583.005	Botnet	Adversaries may buy, lease, or rent a network of compromised systems that can be used during targeti
T1555.005	Password Managers	Adversaries may acquire user credentials from third-party password managers.(Citation: ise Password 
T1103	AppInit DLLs	Dynamic-link libraries (DLLs) that are specified in the AppInit_DLLs value in the Registry keys <cod
T1553.001	Gatekeeper Bypass	Adversaries may modify file attributes and subvert Gatekeeper functionality to evade user prompts an
T1675	ESXi Administration Command	Adversaries may abuse ESXi administration services to execute commands on guest machines hosted with
T1608.004	Drive-by Target	Adversaries may prepare an operational environment to infect systems that visit a website over the n
T1007	System Service Discovery	Adversaries may try to gather information about registered local system services. Adversaries may ob
T1040	Network Sniffing	Adversaries may passively sniff network traffic to capture information about an environment, includi
T1017	Application Deployment Software	Adversaries may deploy malicious software to systems within a network using application deployment s
T1553.002	Code Signing	Adversaries may create, acquire, or steal code signing materials to sign their malware or tools. Cod
T1530	Data from Cloud Storage	Adversaries may access data from cloud storage. Many IaaS providers offer solutions for online data 
T1565.003	Runtime Data Manipulation	Adversaries may modify systems in order to manipulate the data as it is accessed and displayed to an
T1552.002	Credentials in Registry	Adversaries may search the Registry on compromised systems for insecurely stored credentials. The Wi
T1135	Network Share Discovery	Adversaries may look for folders and drives shared on remote systems as a means of identifying sourc
T1120	Peripheral Device Discovery	Adversaries may attempt to gather information about attached peripheral devices and components conne
T1036.009	Break Process Trees	An adversary may attempt to evade process tree-based analysis by modifying executed malware's parent
T1590.004	Network Topology	Adversaries may gather information about the victim's network topology that can be used during targe
T1587.002	Code Signing Certificates	Adversaries may create self-signed code signing certificates that can be used during targeting. Code
T1222.001	Windows File and Directory Permissions Modification	Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs)
T1137.006	Add-ins	Adversaries may abuse Microsoft Office add-ins to obtain persistence on a compromised system. Office
T1505.002	Transport Agent	Adversaries may abuse Microsoft transport agents to establish persistent access to systems. Microsof
T1082	System Information Discovery	An adversary may attempt to get detailed information about the operating system and hardware, includ
T1071	Application Layer Protocol	Adversaries may communicate using OSI application layer protocols to avoid detection/network filteri
T1574.014	AppDomainManager	Adversaries may execute their own malicious payloads by hijacking how the .NET `AppDomainManager` lo
T1074.002	Remote Data Staging	Adversaries may stage data collected from multiple systems in a central location or directory on one
T1098.006	Additional Container Cluster Roles	An adversary may add additional roles or permissions to an adversary-controlled user or service acco
T1053	Scheduled Task/Job	Adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of 
T1218.007	Msiexec	Adversaries may abuse msiexec.exe to proxy execution of malicious payloads. Msiexec.exe is the comma
T1162	Login Item	MacOS provides the option to list specific applications to run when a user logs in. These applicatio
T1590.003	Network Trust Dependencies	Adversaries may gather information about the victim's network trust dependencies that can be used du
T1498.002	Reflection Amplification	Adversaries may attempt to cause a denial of service (DoS) by reflecting a high-volume of network tr
T1556.002	Password Filter DLL	Adversaries may register malicious password filter dynamic link libraries (DLLs) into the authentica
T1505.005	Terminal Services DLL	Adversaries may abuse components of Terminal Services to enable persistent access to systems. Micros
T1059.002	AppleScript	Adversaries may abuse AppleScript for execution. AppleScript is a macOS scripting language designed 
T1176	Software Extensions	Adversaries may abuse software extensions to establish persistent access to victim systems. Software
T1499.002	Service Exhaustion Flood	Adversaries may target the different network services provided by systems to conduct a denial of ser
T1195.003	Compromise Hardware Supply Chain	Adversaries may manipulate hardware components in products prior to receipt by a final consumer for 
T1106	Native API	Adversaries may interact with the native OS application programming interface (API) to execute behav
T1558.005	Ccache Files	Adversaries may attempt to steal Kerberos tickets stored in credential cache files (or ccache). Thes
T1070.007	Clear Network Connection History and Configurations	Adversaries may clear or remove evidence of malicious network connections in order to clean up trace
T1558.004	AS-REP Roasting	Adversaries may reveal credentials of accounts that have disabled Kerberos preauthentication by [Pas
T1058	Service Registry Permissions Weakness	Windows stores local service configuration information in the Registry under <code>HKLM\SYSTEM\Curre
T1584.003	Virtual Private Server	Adversaries may compromise third-party Virtual Private Servers (VPSs) that can be used during target
T1059.010	AutoHotKey & AutoIT	Adversaries may execute commands and perform malicious tasks using AutoIT and AutoHotKey automation 
T1600.001	Reduce Key Space	Adversaries may reduce the level of effort required to decrypt data transmitted over the network by 
T1070.003	Clear Command History	In addition to clearing system logs, an adversary may clear the command history of a compromised acc
T1202	Indirect Command Execution	Adversaries may abuse utilities that allow for command execution to bypass security restrictions tha
T1024	Custom Cryptographic Protocol	Adversaries may use a custom cryptographic protocol or algorithm to hide command and control traffic
T1536	Revert Cloud Instance	An adversary may revert changes made to a cloud instance after they have performed malicious activit
T1091	Replication Through Removable Media	Adversaries may move onto systems, possibly those on disconnected or air-gapped networks, by copying
T1005	Data from Local System	Adversaries may search local system sources, such as file systems, configuration files, local databa
T1140	Deobfuscate/Decode Files or Information	Adversaries may use [Obfuscated Files or Information](https://attack.mitre.org/techniques/T1027) to 
T1137.005	Outlook Rules	Adversaries may abuse Microsoft Outlook rules to obtain persistence on a compromised system. Outlook
T1562	Impair Defenses	Adversaries may maliciously modify components of a victim environment in order to hinder or disable 
T1586.003	Cloud Accounts	Adversaries may compromise cloud accounts that can be used during targeting. Adversaries can use com
T1586.002	Email Accounts	Adversaries may compromise email accounts that can be used during targeting. Adversaries can use com
T1098.007	Additional Local or Domain Groups	An adversary may add additional local or domain groups to an adversary-controlled account to maintai
T1608.001	Upload Malware	Adversaries may upload malware to third-party or adversary controlled infrastructure to make it acce
T1195	Supply Chain Compromise	Adversaries may manipulate products or product delivery mechanisms prior to receipt by a final consu
T1190	Exploit Public-Facing Application	Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially acce
T1558	Steal or Forge Kerberos Tickets	Adversaries may attempt to subvert Kerberos authentication by stealing or forging Kerberos tickets t
T1555	Credentials from Password Stores	Adversaries may search for common password storage locations to obtain user credentials.(Citation: F
T1567	Exfiltration Over Web Service	Adversaries may use an existing, legitimate external Web service to exfiltrate data rather than thei
T1219	Remote Access Tools	An adversary may use legitimate remote access tools to establish an interactive command and control 
T1583.001	Domains	Adversaries may acquire domains that can be used during targeting. Domain names are the human readab
T1560.002	Archive via Library	An adversary may compress or encrypt data that is collected prior to exfiltration using 3rd party li
T1055.003	Thread Execution Hijacking	Adversaries may inject malicious code into hijacked processes in order to evade process-based defens
T1079	Multilayer Encryption	An adversary performs C2 communications using multiple layers of encryption, typically (but not excl
T1036	Masquerading	Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or 
T1546.011	Application Shimming	Adversaries may establish persistence and/or elevate privileges by executing malicious content trigg
T1552	Unsecured Credentials	Adversaries may search compromised systems to find and obtain insecurely stored credentials. These c
T1547.010	Port Monitors	Adversaries may use port monitors to run an adversary supplied DLL during system boot for persistenc
T1070.008	Clear Mailbox Data	Adversaries may modify mail and mail application data to remove evidence of their activity. Email ap
T1037.002	Login Hook	Adversaries may use a Login Hook to establish persistence executed upon user logon. A login hook is 
T1659	Content Injection	Adversaries may gain access and continuously communicate with victims by injecting malicious content
T1055	Process Injection	Adversaries may inject code into processes in order to evade process-based defenses as well as possi
T1567.004	Exfiltration Over Webhook	Adversaries may exfiltrate data to a webhook endpoint rather than over their primary command and con
T1139	Bash History	Bash keeps track of the commands users type on the command-line with the "history" utility. Once a u
T1205	Traffic Signaling	Adversaries may use traffic signaling to hide open ports or other malicious functionality used for p
T1021.008	Direct Cloud VM Connections	Adversaries may leverage [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log directly
T1503	Credentials from Web Browsers	Adversaries may acquire credentials from web browsers by reading files specific to the target browse
T1218	System Binary Proxy Execution	Adversaries may bypass process and/or signature-based defenses by proxying execution of malicious co
T1038	DLL Search Order Hijacking	Windows systems use a common method to look for required DLLs to load into a program. (Citation: Mic
T1050	New Service	When operating systems boot up, they can start programs or applications called services that perform
T1070.006	Timestomp	Adversaries may modify file time attributes to hide new files or changes to existing files. Timestom
T1557.004	Evil Twin	Adversaries may host seemingly genuine Wi-Fi access points to deceive users into connecting to malic
T1620	Reflective Code Loading	Adversaries may reflectively load code into a process in order to conceal the execution of malicious
T1016.002	Wi-Fi Discovery	Adversaries may search for information about Wi-Fi networks, such as network names and passwords, on
T1480.002	Mutual Exclusion	Adversaries may constrain execution or actions based on the presence of a mutex associated with malw
T1564.011	Ignore Process Interrupts	Adversaries may evade defensive mechanisms by executing commands that hide from process interrupt si
T1611	Escape to Host	Adversaries may break out of a container or virtualized environment to gain access to the underlying
T1518.002	Backup Software Discovery	Adversaries may attempt to get a listing of backup software or configurations that are installed on 
T1547.009	Shortcut Modification	Adversaries may create or modify shortcuts that can execute a program during system boot or user log
T1010	Application Window Discovery	Adversaries may attempt to get a listing of open application windows. Window listings could convey i
T1569.003	Systemctl	Adversaries may abuse systemctl to execute commands or programs. Systemctl is the primary interface 
T1032	Standard Cryptographic Protocol	Adversaries may explicitly employ a known encryption algorithm to conceal command and control traffi
T1087.003	Email Account	Adversaries may attempt to get a listing of email addresses and accounts. Adversaries may try to dum
T1497.003	Time Based Checks	Adversaries may employ various time-based methods to detect virtualization and analysis environments
T1182	AppCert DLLs	Dynamic-link libraries (DLLs) that are specified in the AppCertDLLs Registry key under <code>HKEY_LO
T1218.003	CMSTP	Adversaries may abuse CMSTP to proxy execution of malicious code. The Microsoft Connection Manager P
T1563.001	SSH Hijacking	Adversaries may hijack a legitimate user's SSH session to move laterally within an environment. Secu
T1562.002	Disable Windows Event Logging	Adversaries may disable Windows event logging to limit data that can be leveraged for detections and
T1029	Scheduled Transfer	Adversaries may schedule data exfiltration to be performed only at certain times of day or at certai
T1021.002	SMB/Windows Admin Shares	Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with a r
T1525	Implant Internal Image	Adversaries may implant cloud or container images with malicious code to establish persistence after
T1572	Protocol Tunneling	Adversaries may tunnel network communications to and from a victim system within a separate protocol
T1218.002	Control Panel	Adversaries may abuse control.exe to proxy execution of malicious payloads. The Windows Control Pane
T1599.001	Network Address Translation Traversal	Adversaries may bridge network boundaries by modifying a network device’s Network Address Translatio
T1608.002	Upload Tool	Adversaries may upload tools to third-party or adversary controlled infrastructure to make it access
T1547.005	Security Support Provider	Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots. Windo
T1036.011	Overwrite Process Arguments	Adversaries may modify a process's in-memory arguments to change its name in order to appear as a le
T1004	Winlogon Helper DLL	Winlogon.exe is a Windows component responsible for actions at logon/logoff as well as the secure at
T1009	Binary Padding	Adversaries can use binary padding to add junk data and change the on-disk representation of malware
T1550	Use Alternate Authentication Material	Adversaries may use alternate authentication material, such as password hashes, Kerberos tickets, an
T1076	Remote Desktop Protocol	Remote desktop is a common feature in operating systems. It allows a user to log into an interactive
T1597.001	Threat Intel Vendors	Adversaries may search private data from threat intelligence vendors for information that can be use
T1011	Exfiltration Over Other Network Medium	Adversaries may attempt to exfiltrate data over a different network medium than the command and cont
T1602.002	Network Device Configuration Dump	Adversaries may access network configuration files to collect sensitive data about the device and th
T1589	Gather Victim Identity Information	Adversaries may gather information about the victim's identity that can be used during targeting. In
T1131	Authentication Package	Windows Authentication Package DLLs are loaded by the Local Security Authority (LSA) process at syst
T1181	Extra Window Memory Injection	Before creating a window, graphical Windows-based processes must prescribe to or register a windows 
T1562.004	Disable or Modify System Firewall	Adversaries may disable or modify system firewalls in order to bypass controls limiting network usag
T1560	Archive Collected Data	An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing t
T1152	Launchctl	Launchctl controls the macOS launchd process which handles things like launch agents and launch daem
T1553.003	SIP and Trust Provider Hijacking	Adversaries may tamper with SIP and trust provider components to mislead the operating system and ap
T1483	Domain Generation Algorithms	Adversaries may make use of Domain Generation Algorithms (DGAs) to dynamically identify a destinatio
T1185	Browser Session Hijacking	Adversaries may take advantage of security vulnerabilities and inherent functionality in browser sof
T1021	Remote Services	Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into a servic
T1071.003	Mail Protocols	Adversaries may communicate using application layer protocols associated with electronic mail delive
