index	id	name	cluster	distance_to_centroid	distance_to_nearest_other_cluster	boundary_ratio	cluster_name	boundary_position
22	T1150	Plist Modification	1	5.535611826269808	6.4341689562507	1.1623227921065402	Mixed_General_Purpose	Boundary
23	T1556.003	Pluggable Authentication Modules	1	5.9165275826803505	6.242595274123033	1.0551111495340677	Mixed_General_Purpose	Boundary
24	T1578.004	Revert Cloud Instance	1	9.062686654045137	9.338668522828517	1.030452430815068	Mixed_General_Purpose	Boundary
25	T1148	HISTCONTROL	1	7.879026280937355	8.99854848639201	1.1420887586165926	Mixed_General_Purpose	Boundary
26	T1592	Gather Victim Host Information	2	8.216794522216093	9.353684254851347	1.1383615704639845	Discovery_Reconnaissance	Boundary
27	T1596.003	Digital Certificates	1	8.65341123517722	9.03077870164042	1.0436089783090603	Mixed_General_Purpose	Boundary
28	T1056.001	Keylogging	2	5.305343202417958	6.612949856374405	1.2464695228182356	Discovery_Reconnaissance	Interior
29	T1564.012	File/Path Exclusions	1	8.587250757787608	9.092514595488227	1.0588387125418104	Mixed_General_Purpose	Boundary
30	T1222.002	Linux and Mac File and Directory Permissions Modification	0	9.648445157403692	10.891127142855062	1.1287959703747534	Evasion_Persistence	Boundary
31	T1110.001	Password Guessing	2	6.184040031482153	7.588287255440961	1.2270758257925476	Discovery_Reconnaissance	Interior
32	T1216.001	PubPrn	1	9.119784882821964	11.371846422492448	1.2469422603344742	Mixed_General_Purpose	Interior
33	T1597.002	Purchase Technical Data	1	8.045627241910637	9.447485993534658	1.174238444714805	Mixed_General_Purpose	Boundary
34	T1003	OS Credential Dumping	2	6.480804324730483	7.268676265974992	1.1215699132695787	Discovery_Reconnaissance	Boundary
35	T1129	Shared Modules	2	7.0559089565547595	7.608723107047673	1.078347534747005	Discovery_Reconnaissance	Boundary
36	T1602	Data from Configuration Repository	1	8.110241148506791	9.921304486439405	1.2233055813587586	Mixed_General_Purpose	Interior
37	T1561.002	Disk Structure Wipe	0	7.423703096866443	8.808676475346715	1.1865608273725339	Evasion_Persistence	Boundary
38	T1498.001	Direct Network Flood	1	6.126014226369992	7.881055178172484	1.2864896489724287	Mixed_General_Purpose	Interior
39	T1492	Stored Data Manipulation	1	6.534142994423741	8.71040799319359	1.3330603060824922	Mixed_General_Purpose	Interior
40	T1574.007	Path Interception by PATH Environment Variable	1	9.297165102229373	11.524046226744726	1.2395224630848931	Mixed_General_Purpose	Interior
41	T1213.002	Sharepoint	2	4.560114440090105	6.307176165531411	1.3831176531370408	Discovery_Reconnaissance	Interior
42	T1006	Direct Volume Access	2	5.926029594552305	6.006768534822743	1.0136242867771657	Discovery_Reconnaissance	Boundary
43	T1044	File System Permissions Weakness	1	7.519504913564665	9.321320650441981	1.239618767188808	Mixed_General_Purpose	Interior
44	T1588.007	Artificial Intelligence	1	6.226452688230504	8.699561635499492	1.397193662894138	Mixed_General_Purpose	Interior
45	T1666	Modify Cloud Resource Hierarchy	1	7.138342175840678	7.6700142174377115	1.0744810145015786	Mixed_General_Purpose	Boundary
46	T1564.008	Email Hiding Rules	1	9.501504614258028	9.664262202702904	1.0171295576777477	Mixed_General_Purpose	Boundary
47	T1491.002	External Defacement	1	7.780762191923405	9.26387289332502	1.1906123685837289	Mixed_General_Purpose	Boundary
48	T1027.013	Encrypted/Encoded File	1	6.801566754649043	8.607624740671687	1.2655353958340205	Mixed_General_Purpose	Interior
49	T1171	LLMNR/NBT-NS Poisoning and Relay	1	7.693053545367446	8.545317429601292	1.1107834188888022	Mixed_General_Purpose	Boundary
50	T1590.005	IP Addresses	1	6.73437550330001	7.9556976208167836	1.1813562275465734	Mixed_General_Purpose	Boundary
51	T1499.001	OS Exhaustion Flood	1	7.668452845106907	8.983329538867862	1.1714655548979995	Mixed_General_Purpose	Boundary
52	T1014	Rootkit	2	6.4068253795446335	8.043323363414114	1.2554302063022027	Discovery_Reconnaissance	Interior
53	T1546.013	PowerShell Profile	1	7.575317229326602	8.85576958061062	1.169029381013587	Mixed_General_Purpose	Boundary
54	T1059.007	JavaScript	2	6.523923510312184	6.597604261604657	1.0112937774151138	Discovery_Reconnaissance	Boundary
55	T1590.002	DNS	1	5.635872317357754	7.4577221248201315	1.3232593610383896	Mixed_General_Purpose	Interior
56	T1501	Systemd Service	1	7.091391314999617	8.19613707398196	1.155786721409504	Mixed_General_Purpose	Boundary
57	T1485.001	Lifecycle-Triggered Deletion	1	7.076880011740464	7.667862826144368	1.083508796237138	Mixed_General_Purpose	Boundary
58	T1514	Elevated Execution with Prompt	1	7.807741241520135	9.10322198445001	1.1659224527214478	Mixed_General_Purpose	Boundary
59	T1123	Audio Capture	0	6.450412981734258	6.976118677442565	1.0814993730940297	Evasion_Persistence	Boundary
60	T1543	Create or Modify System Process	2	6.756868094290769	7.123743199672389	1.0542964648658963	Discovery_Reconnaissance	Boundary
61	T1133	External Remote Services	0	7.376712537940742	8.57181004088624	1.1620093415311226	Evasion_Persistence	Boundary
62	T1109	Component Firmware	1	5.455520737539961	7.391336993855979	1.3548359532683172	Mixed_General_Purpose	Interior
63	T1546.006	LC_LOAD_DYLIB Addition	1	6.447963176226079	7.525792760655343	1.1671579672237113	Mixed_General_Purpose	Boundary
64	T1539	Steal Web Session Cookie	2	7.802892575136798	8.370580477052101	1.0727533826328461	Discovery_Reconnaissance	Boundary
65	T1053.007	Container Orchestration Job	1	7.452944507879677	8.067897722590608	1.0825112989301704	Mixed_General_Purpose	Boundary
66	T1568.002	Domain Generation Algorithms	2	7.691859677871105	9.272248878964975	1.2054624059482155	Discovery_Reconnaissance	Interior
67	T1036.007	Double File Extension	1	13.2937367021992	14.347271057823216	1.0792503492414875	Mixed_General_Purpose	Boundary
68	T1548.002	Bypass User Account Control	2	5.99404322441962	7.868719565314607	1.3127563412457979	Discovery_Reconnaissance	Interior
69	T1099	Timestomp	1	5.4223151830985765	7.376335105437262	1.3603660975044918	Mixed_General_Purpose	Interior
70	T1496.003	SMS Pumping	1	6.61689853167513	7.407455466901362	1.1194752816544722	Mixed_General_Purpose	Boundary
71	T1016.001	Internet Connection Discovery	2	6.164121614348756	6.8317894937945445	1.1083149900184663	Discovery_Reconnaissance	Boundary
72	T1548.003	Sudo and Sudo Caching	1	12.512513840699327	12.847849488718735	1.0267999400830814	Mixed_General_Purpose	Boundary
73	T1560.003	Archive via Custom Method	2	8.201722443020568	8.314854813830484	1.0137936095499769	Discovery_Reconnaissance	Boundary
74	T1578	Modify Cloud Compute Infrastructure	1	8.013809909098262	9.040159612509372	1.1280724882397555	Mixed_General_Purpose	Boundary
75	T1584.008	Network Devices	1	5.62246865518226	6.5848228421235895	1.171162006371048	Mixed_General_Purpose	Boundary
76	T1583.008	Malvertising	1	6.2351608297877705	8.01813816357814	1.285955101481473	Mixed_General_Purpose	Interior
77	T1069	Permission Groups Discovery	2	7.97586103948773	9.063447035814784	1.136359554734338	Discovery_Reconnaissance	Boundary
78	T1114	Email Collection	2	5.5952892741247515	7.13869821504272	1.2758405489801685	Discovery_Reconnaissance	Interior
79	T1003.002	Security Account Manager	2	5.596182811150062	7.331820728360155	1.3101465169446256	Discovery_Reconnaissance	Interior
80	T1596.002	WHOIS	1	9.13554520367363	11.160705338912058	1.2216790425102402	Mixed_General_Purpose	Interior
81	T1542.001	System Firmware	0	5.505311020111778	5.8758570395396115	1.0673068153220333	Evasion_Persistence	Boundary
82	T1594	Search Victim-Owned Websites	2	9.21283957280202	10.523608790915846	1.1422762293296873	Discovery_Reconnaissance	Boundary
83	T1069.003	Cloud Groups	1	5.996542057070973	7.235615389029041	1.2066311073172376	Mixed_General_Purpose	Interior
84	T1574.011	Services Registry Permissions Weakness	1	9.58706084582272	11.082987542217152	1.156035886745243	Mixed_General_Purpose	Boundary
85	T1596.001	DNS/Passive DNS	1	7.248990275511548	9.039790309528858	1.2470411352358728	Mixed_General_Purpose	Interior
86	T1499.003	Application Exhaustion Flood	1	6.508835800305224	8.04208091277157	1.2355634592642493	Mixed_General_Purpose	Interior
87	T1163	Rc.common	1	8.01503156347014	9.889969083529847	1.2339274987608966	Mixed_General_Purpose	Interior
88	T1195.001	Compromise Software Dependencies and Development Tools	1	7.920074673935	8.76483616925246	1.1066606595815203	Mixed_General_Purpose	Boundary
89	T1588.004	Digital Certificates	2	7.962994783102594	8.80938847005037	1.1062907365521673	Discovery_Reconnaissance	Boundary
90	T1583.002	DNS Server	1	6.868766075445876	8.520522561555627	1.2404733583140943	Mixed_General_Purpose	Interior
91	T1561	Disk Wipe	0	7.413193288034386	9.147066259005848	1.233889994461645	Evasion_Persistence	Interior
92	T1071.004	DNS	2	9.24596257783418	9.468972860412675	1.0241196367151097	Discovery_Reconnaissance	Boundary
93	T1552.005	Cloud Instance Metadata API	0	9.867303597806114	10.216020857423551	1.0353405791987988	Evasion_Persistence	Boundary
94	T1555.002	Securityd Memory	1	5.9725942600622135	6.513394520522613	1.090546778563188	Mixed_General_Purpose	Boundary
95	T1615	Group Policy Discovery	2	6.876947198631381	7.867116850444906	1.1439837298775326	Discovery_Reconnaissance	Boundary
96	T1542.003	Bootkit	0	6.103176348785627	6.291200087135752	1.0308073528925938	Evasion_Persistence	Boundary
97	T1025	Data from Removable Media	0	9.408427500894357	11.867957548613703	1.2614176264915598	Evasion_Persistence	Interior
98	T1116	Code Signing	1	6.879096769497584	8.2301953815116	1.1964062232121309	Mixed_General_Purpose	Boundary
99	T1218.013	Mavinject	1	5.618834261285241	7.5015737716579345	1.335076296567207	Mixed_General_Purpose	Interior
100	T1522	Cloud Instance Metadata API	0	10.562964737439582	11.009581885203392	1.0422813212562847	Evasion_Persistence	Boundary
101	T1093	Process Hollowing	1	8.932116848086125	9.776996465069145	1.0945888345129764	Mixed_General_Purpose	Boundary
102	T1074.001	Local Data Staging	0	11.035745690758265	13.299565460809673	1.2051350790741884	Evasion_Persistence	Interior
103	T1036.005	Match Legitimate Resource Name or Location	2	9.721676737142145	10.303132686324647	1.0598101443911296	Discovery_Reconnaissance	Boundary
104	T1172	Domain Fronting	1	6.958886743746602	8.740466847621338	1.2560149221369032	Mixed_General_Purpose	Interior
105	T1587.003	Digital Certificates	1	8.919449833336424	9.458999088836277	1.0604911967767447	Mixed_General_Purpose	Boundary
106	T1565.001	Stored Data Manipulation	1	5.801800554273289	8.087760611008587	1.3940084877690424	Mixed_General_Purpose	Interior
107	T1110.002	Password Cracking	2	7.186423527595042	8.403382810363192	1.169341273688351	Discovery_Reconnaissance	Boundary
108	T1178	SID-History Injection	1	7.825580171226436	9.684220291590005	1.2375081261948344	Mixed_General_Purpose	Interior
109	T1114.001	Local Email Collection	0	9.551892290065018	9.834610748292686	1.0295980545052492	Evasion_Persistence	Boundary
110	T1555.001	Keychain	1	5.940856263796768	6.136319285141863	1.0329013158650064	Mixed_General_Purpose	Boundary
111	T1547	Boot or Logon Autostart Execution	0	7.800208788697248	7.8939803591478785	1.012021544675184	Evasion_Persistence	Boundary
112	T1003.004	LSA Secrets	2	5.6004450477333085	7.6577341028668515	1.3673436075625078	Discovery_Reconnaissance	Interior
113	T1013	Port Monitors	1	6.305232955470412	6.974379214613559	1.1061253656674543	Mixed_General_Purpose	Boundary
114	T1600	Weaken Encryption	1	8.454322632622569	9.88126358626574	1.1687822723200543	Mixed_General_Purpose	Boundary
115	T1606.002	SAML Tokens	1	11.121690616459437	12.341812577948726	1.1097064190921806	Mixed_General_Purpose	Boundary
116	T1192	Spearphishing Link	1	6.132927731701444	8.30483962785054	1.3541392687187723	Mixed_General_Purpose	Interior
117	T1036.008	Masquerade File Type	0	6.864287539904139	8.52873041164265	1.2424784246848917	Evasion_Persistence	Interior
118	T1489	Service Stop	2	7.047868728337082	7.17032557532529	1.017374873785742	Discovery_Reconnaissance	Boundary
119	T1587.001	Malware	2	7.841877976596618	9.27612142512078	1.1828952541609643	Discovery_Reconnaissance	Boundary
120	T1121	Regsvcs/Regasm	1	5.530693014953219	7.276223477726507	1.3156076720306595	Mixed_General_Purpose	Interior
121	T1652	Device Driver Discovery	1	6.148838253624348	7.13890480454256	1.161016658605058	Mixed_General_Purpose	Boundary
122	T1206	Sudo Caching	1	8.57481643851378	9.47841134879992	1.1053776266101771	Mixed_General_Purpose	Boundary
123	T1087.002	Domain Account	2	7.1361034041738	9.167551187040713	1.2846716734803867	Discovery_Reconnaissance	Interior
124	T1547.014	Active Setup	1	6.03891347894734	7.258986186784553	1.202034937254135	Mixed_General_Purpose	Interior
125	T1564	Hide Artifacts	2	6.1184803497817795	7.7683958644223	1.2696607900421835	Discovery_Reconnaissance	Interior
126	T1559.002	Dynamic Data Exchange	0	6.17473494565973	8.719199929516472	1.412076565904857	Evasion_Persistence	Interior
127	T1204.002	Malicious File	2	10.329369715161732	10.561756598056514	1.022497583764099	Discovery_Reconnaissance	Boundary
128	T1591.003	Identify Business Tempo	1	9.112476827505363	11.011765947119994	1.208427186937209	Mixed_General_Purpose	Interior
129	T1063	Security Software Discovery	1	5.359862741117126	6.467219492786606	1.2066014744320124	Mixed_General_Purpose	Interior
130	T1071.005	Publish/Subscribe Protocols	1	7.588984296454878	9.779305799312542	1.288618361651175	Mixed_General_Purpose	Interior
131	T1592.001	Hardware	1	6.319030443328925	7.108675389598516	1.1249628132651923	Mixed_General_Purpose	Boundary
132	T1080	Taint Shared Content	2	6.367544185357406	6.817349285025126	1.0706401111533648	Discovery_Reconnaissance	Boundary
133	T1484.002	Trust Modification	2	4.902619255458136	6.6953298567557855	1.3656635651724827	Discovery_Reconnaissance	Interior
134	T1213.006	Databases	1	6.435454499762533	8.21472449125264	1.276479107276208	Mixed_General_Purpose	Interior
135	T1573.001	Symmetric Cryptography	2	7.453970917736174	8.304590918555105	1.1141162067963988	Discovery_Reconnaissance	Boundary
136	T1087.001	Local Account	2	8.43945090846785	9.321469268891786	1.1045112135231143	Discovery_Reconnaissance	Boundary
137	T1167	Securityd Memory	1	6.4938113131897985	8.252566929886738	1.2708354556420847	Mixed_General_Purpose	Interior
138	T1586.001	Social Media Accounts	1	10.143162169502324	10.529437583778234	1.0380822439529842	Mixed_General_Purpose	Boundary
139	T1176.001	Browser Extensions	1	8.601097710615774	10.041670502302093	1.1674869502321044	Mixed_General_Purpose	Boundary
140	T1527	Application Access Token	1	8.296899611991805	8.64422204633898	1.0418615879097286	Mixed_General_Purpose	Boundary
141	T1562.009	Safe Mode Boot	2	8.103755775539975	8.25990640847573	1.0192687956044129	Discovery_Reconnaissance	Boundary
142	T1180	Screensaver	1	9.037195130619178	10.136374601210937	1.121628263313618	Mixed_General_Purpose	Boundary
143	T1542.005	TFTP Boot	0	7.597658169139221	7.959206141153732	1.0475866268762188	Evasion_Persistence	Boundary
144	T1543.003	Windows Service	2	7.682115642679933	8.674971747685003	1.129242388678273	Discovery_Reconnaissance	Boundary
145	T1568.001	Fast Flux DNS	1	8.349302506855476	9.091770277414717	1.0889255936078517	Mixed_General_Purpose	Boundary
146	T1497.001	System Checks	2	6.604363190322402	7.236686698866732	1.0957431314086061	Discovery_Reconnaissance	Boundary
147	T1053.003	Cron	0	7.555166582976731	7.693472164117384	1.018305958090497	Evasion_Persistence	Boundary
148	T1069.002	Domain Groups	2	6.912394043978042	8.297584924674632	1.200392175488197	Discovery_Reconnaissance	Interior
149	T1588.006	Vulnerabilities	1	5.411826990720859	7.829658670918764	1.4467678359961786	Mixed_General_Purpose	Interior
150	T1566.002	Spearphishing Link	2	4.770963452395163	6.273257467128608	1.3148824581954808	Discovery_Reconnaissance	Interior
151	T1165	Startup Items	1	6.763870955348144	7.898415827703867	1.1677358589644276	Mixed_General_Purpose	Boundary
152	T1070.002	Clear Linux or Mac System Logs	0	10.04341856010428	10.343410368147406	1.0298693892302166	Evasion_Persistence	Boundary
153	T1499.004	Application or System Exploitation	1	9.16540656219763	11.790713453489536	1.286436350317893	Mixed_General_Purpose	Interior
154	T1137	Office Application Startup	1	8.740227256849925	10.138519294240526	1.1599833547018326	Mixed_General_Purpose	Boundary
155	T1218.004	InstallUtil	1	7.820555435515041	9.763630405988485	1.2484572532012523	Mixed_General_Purpose	Interior
156	T1598.003	Spearphishing Link	2	4.619086040869594	6.331054568471956	1.3706289819730404	Discovery_Reconnaissance	Interior
157	T1021.004	SSH	0	6.849459326722877	7.479033966857427	1.0919158021367459	Evasion_Persistence	Boundary
158	T1098.003	Additional Cloud Roles	1	7.556235770989995	8.873097574679681	1.1742746877315167	Mixed_General_Purpose	Boundary
159	T1547.012	Print Processors	2	8.088096350962259	8.249508400365066	1.0199566155547826	Discovery_Reconnaissance	Boundary
160	T1089	Disabling Security Tools	1	7.095278712725886	8.261077100721739	1.1643060506698435	Mixed_General_Purpose	Boundary
161	T1487	Disk Structure Wipe	1	6.005103724020236	7.0151477020179644	1.1681973961182703	Mixed_General_Purpose	Boundary
162	T1566.001	Spearphishing Attachment	2	6.674069029339913	7.0873098065453	1.0619172072496605	Discovery_Reconnaissance	Boundary
163	T1214	Credentials in Registry	1	6.441362810567507	7.642591174436796	1.1864864955925314	Mixed_General_Purpose	Boundary
164	T1027.008	Stripped Payloads	1	7.5361519625810836	8.800704539587962	1.16779802417569	Mixed_General_Purpose	Boundary
165	T1559.001	Component Object Model	2	6.050788694642548	6.624507143138508	1.09481695405873	Discovery_Reconnaissance	Boundary
166	T1574.001	DLL	2	6.30191286640316	7.352812288480307	1.166758614026718	Discovery_Reconnaissance	Boundary
167	T1119	Automated Collection	0	8.398729770333272	8.668293820947051	1.0320956889779054	Evasion_Persistence	Boundary
168	T1115	Clipboard Data	1	7.877884057235028	8.046568264382964	1.0214122452818752	Mixed_General_Purpose	Boundary
169	T1003.007	Proc Filesystem	1	7.911948327454123	9.935808865271401	1.2557978386937556	Mixed_General_Purpose	Interior
170	T1583.005	Botnet	2	7.901005653808599	9.365067932815569	1.1853006006900695	Discovery_Reconnaissance	Boundary
171	T1555.005	Password Managers	2	8.24709522151862	9.56848400793616	1.1602246112964862	Discovery_Reconnaissance	Boundary
172	T1103	AppInit DLLs	1	13.024098612596141	13.61937514262956	1.0457056954215633	Mixed_General_Purpose	Boundary
173	T1553.001	Gatekeeper Bypass	1	6.338220578635765	6.379432622444479	1.006501988499049	Mixed_General_Purpose	Boundary
174	T1675	ESXi Administration Command	1	7.682383636115225	7.812236887907351	1.0169025970376027	Mixed_General_Purpose	Boundary
175	T1608.004	Drive-by Target	1	8.877866367810748	10.770820538955931	1.2132216097312547	Mixed_General_Purpose	Interior
176	T1007	System Service Discovery	2	5.713139187265717	6.9059551538294075	1.2087844735934208	Discovery_Reconnaissance	Interior
177	T1040	Network Sniffing	2	6.496645278963185	7.370129416242708	1.134451392268031	Discovery_Reconnaissance	Boundary
178	T1017	Application Deployment Software	1	6.703337930108724	8.165640427246483	1.2181452425998758	Mixed_General_Purpose	Interior
179	T1553.002	Code Signing	2	5.735865627434709	7.144261299072537	1.2455417399179858	Discovery_Reconnaissance	Interior
180	T1530	Data from Cloud Storage	0	7.876364232277457	10.298964796720584	1.3075783680669453	Evasion_Persistence	Interior
181	T1565.003	Runtime Data Manipulation	1	7.32265677480124	9.73183749312064	1.3290034564512736	Mixed_General_Purpose	Interior
182	T1552.002	Credentials in Registry	2	5.560796012198812	7.320267102478085	1.3164060990572926	Discovery_Reconnaissance	Interior
183	T1135	Network Share Discovery	2	6.088718068397456	7.330555269055537	1.203956889241883	Discovery_Reconnaissance	Interior
184	T1120	Peripheral Device Discovery	2	7.199994253095098	8.016404758685976	1.1133902838671905	Discovery_Reconnaissance	Boundary
185	T1036.009	Break Process Trees	1	9.6111068830635	11.438209639273447	1.1901031367496802	Mixed_General_Purpose	Boundary
186	T1590.004	Network Topology	0	7.654499210449643	7.759489376784365	1.0137160054148793	Evasion_Persistence	Boundary
187	T1587.002	Code Signing Certificates	1	6.437284762443538	7.468865224263557	1.160250686374445	Mixed_General_Purpose	Boundary
188	T1222.001	Windows File and Directory Permissions Modification	1	6.720585079242261	8.762335257666976	1.3038052268582683	Mixed_General_Purpose	Interior
189	T1137.006	Add-ins	1	8.070312480803915	10.786729263785674	1.3365935895108707	Mixed_General_Purpose	Interior
190	T1505.002	Transport Agent	1	7.972909748475393	9.711608843507307	1.2180757003161478	Mixed_General_Purpose	Interior
191	T1082	System Information Discovery	2	6.02718672847281	6.973833639763042	1.1570626225591445	Discovery_Reconnaissance	Boundary
192	T1071	Application Layer Protocol	1	7.271003801059721	7.396506933760395	1.0172606312517332	Mixed_General_Purpose	Boundary
193	T1574.014	AppDomainManager	1	8.045643657906519	9.171503766994888	1.1399339837836338	Mixed_General_Purpose	Boundary
194	T1074.002	Remote Data Staging	0	9.334623948999669	12.044696539834291	1.290324636034257	Evasion_Persistence	Interior
195	T1098.006	Additional Container Cluster Roles	1	6.9743647300779	8.613357951718136	1.235002333555847	Mixed_General_Purpose	Interior
196	T1053	Scheduled Task/Job	0	6.713877787132857	7.305023301878696	1.0880481363289976	Evasion_Persistence	Boundary
197	T1218.007	Msiexec	1	8.137229619161264	10.163694877751718	1.2490361098797678	Mixed_General_Purpose	Interior
198	T1162	Login Item	1	7.7229575073545496	8.948564875982335	1.15869648496242	Mixed_General_Purpose	Boundary
199	T1590.003	Network Trust Dependencies	2	7.549644875524635	8.15498151670328	1.0801806669026817	Discovery_Reconnaissance	Boundary
200	T1498.002	Reflection Amplification	1	5.862720050920091	7.2323377231880555	1.2336145043184372	Mixed_General_Purpose	Interior
201	T1556.002	Password Filter DLL	1	8.67059720269569	9.62554723393587	1.1101364645109824	Mixed_General_Purpose	Boundary
202	T1505.005	Terminal Services DLL	1	7.260611251117231	8.661951003169683	1.1930055901052725	Mixed_General_Purpose	Boundary
203	T1059.002	AppleScript	2	6.96118341896965	7.82793003943915	1.1245112280185487	Discovery_Reconnaissance	Boundary
204	T1176	Software Extensions	2	8.194717968196745	8.475058432445897	1.0342097716025571	Discovery_Reconnaissance	Boundary
205	T1499.002	Service Exhaustion Flood	1	6.835871203322606	7.962686952257558	1.164838474947975	Mixed_General_Purpose	Boundary
206	T1195.003	Compromise Hardware Supply Chain	1	6.286125470232302	6.813267785774203	1.0838578921436208	Mixed_General_Purpose	Boundary
207	T1106	Native API	2	5.487351701354336	6.13448605925106	1.117931795734035	Discovery_Reconnaissance	Boundary
208	T1558.005	Ccache Files	0	7.057176922083383	7.114187256224738	1.0080782055902204	Evasion_Persistence	Boundary
209	T1070.007	Clear Network Connection History and Configurations	2	9.207803649762008	9.263379576077234	1.0060356326430822	Discovery_Reconnaissance	Boundary
210	T1558.004	AS-REP Roasting	1	7.700024781536297	9.626004567591933	1.2501262775864845	Mixed_General_Purpose	Interior
211	T1058	Service Registry Permissions Weakness	1	7.199083294864302	9.108457707024849	1.265224483275277	Mixed_General_Purpose	Interior
212	T1584.003	Virtual Private Server	1	6.923379299275177	8.55142219801822	1.2351513030294587	Mixed_General_Purpose	Interior
213	T1059.010	AutoHotKey & AutoIT	1	8.46448136598771	9.082516118473674	1.0730149494987868	Mixed_General_Purpose	Boundary
214	T1600.001	Reduce Key Space	1	9.251866060975857	10.294267703456313	1.1126692196948307	Mixed_General_Purpose	Boundary
215	T1070.003	Clear Command History	1	10.778730620860198	11.914819246114941	1.1054008639621438	Mixed_General_Purpose	Boundary
216	T1202	Indirect Command Execution	1	6.667557784443188	8.531109097663446	1.279495145594863	Mixed_General_Purpose	Interior
217	T1024	Custom Cryptographic Protocol	2	6.0593024046168855	6.5883718344974485	1.0873150582750881	Discovery_Reconnaissance	Boundary
218	T1536	Revert Cloud Instance	0	9.608589632571054	9.65544613185319	1.0048764174761808	Evasion_Persistence	Boundary
219	T1091	Replication Through Removable Media	0	9.641625772363641	11.696145089450656	1.2130883475987686	Evasion_Persistence	Interior
220	T1005	Data from Local System	0	7.92420479169216	8.90967001889154	1.124361261318144	Evasion_Persistence	Boundary
221	T1140	Deobfuscate/Decode Files or Information	0	6.92134191704336	7.450350992535149	1.076431421160934	Evasion_Persistence	Boundary
222	T1137.005	Outlook Rules	1	6.953324701487714	8.818866935609623	1.2682948152022797	Mixed_General_Purpose	Interior
223	T1562	Impair Defenses	2	4.705882503768355	5.5909939045768455	1.188085914175248	Discovery_Reconnaissance	Boundary
224	T1586.003	Cloud Accounts	2	6.715635802932773	7.000224873225647	1.042376929938884	Discovery_Reconnaissance	Boundary
225	T1586.002	Email Accounts	2	5.253961950143596	7.398893002306473	1.4082499386685348	Discovery_Reconnaissance	Interior
226	T1098.007	Additional Local or Domain Groups	1	8.805261501510268	10.941001331603262	1.2425525451088681	Mixed_General_Purpose	Interior
227	T1608.001	Upload Malware	1	7.0683376352368175	9.6957560038566	1.3717163967670818	Mixed_General_Purpose	Interior
228	T1195	Supply Chain Compromise	0	5.999367285305775	6.512958793654541	1.0856074313035091	Evasion_Persistence	Boundary
229	T1190	Exploit Public-Facing Application	2	6.710558231723277	7.347544983801985	1.094922901368256	Discovery_Reconnaissance	Boundary
230	T1558	Steal or Forge Kerberos Tickets	2	7.580235801852983	8.215838318413242	1.0838498233201483	Discovery_Reconnaissance	Boundary
